document_name,sentence,label
01-Preface-to-Regional-Strategy-Plan.txt,REGIONALSTRATEGYPLAN - PREFACE 1.,
01-Preface-to-Regional-Strategy-Plan.txt,"PREFACE TO REGIONAL STRATEGY PLAN 1.01 Purpose of the Regional Strategy Plan The purpose of the Regional Strategy Plan is to provide clear directions for the future allocation of public and private resources in the Region within a framework determined bythe Government, through its State Planning Policies for the Region.",
01-Preface-to-Regional-Strategy-Plan.txt,"This will enable the needs of the local residents and visitors to be met, while ensuring that State and regional aims are satisfied.",
01-Preface-to-Regional-Strategy-Plan.txt,The Regional Strategy Plan provides the necessary links between broad Government policies and the more specific local planning controls of the Councils withintheRegion.,
01-Preface-to-Regional-Strategy-Plan.txt,The future role of the Regional Strategy plan is to ensure that planning in the Region continues to protect the special character and features of the Region in accordance with thePrinciples ofStatement ofPlanningPolicyNo3.,
01-Preface-to-Regional-Strategy-Plan.txt,TheRegional StrategyPlanapplies toall thelandwithintheShireofYarraRanges.,
01-Preface-to-Regional-Strategy-Plan.txt,"1.02 Background The Upper Yarra Valley and Dandenong Ranges Authority was established with the proclamation, in April 1977, of the Upper Yarra Valley &Dandenong Ranges Authority Act 1976.",
01-Preface-to-Regional-Strategy-Plan.txt,"The Region for which the Authority was responsible comprised the former Shires ofHealesville,Lillydale,SherbrookeandUpperYarra.",
01-Preface-to-Regional-Strategy-Plan.txt,"With local government restructure in December 1994, the Region generally covered the sameareaas themunicipal district oftheYarraRanges Shire.",
01-Preface-to-Regional-Strategy-Plan.txt,"The object of the Upper Yarra Valley and Dandenong Ranges Act was ""to enable increased protection for the special features andcharacter of theRegion"".",
01-Preface-to-Regional-Strategy-Plan.txt,"TheAct also required that the Authorityprepare Regional StrategyPlans to implement amongst other things, State Planning Policies for the Region (in particular, the former Statement of PlanningPolicyNo.3,UpperYarraValleyandDandenongRanges, April 1979).",
01-Preface-to-Regional-Strategy-Plan.txt,The Regional Strategy Plan was prepared by the Authority having regard to the followingmatters (as outlinedinSection13ofits Act):  “The physical economic and social resources of the Region and the management anduseof suchresources.,
01-Preface-to-Regional-Strategy-Plan.txt, The likelihood of development in the Region or use of land in the Region destroying or detrimentally affecting the features or character of the Region and methods by which such development or use of land could be regulated in order topreservesuchfeatures or character.,
01-Preface-to-Regional-Strategy-Plan.txt," Whether provisionof publicservices andutilities withintheRegionareadequate and whether, and if so what, provisions should be made to meet future needs of thecommunity.",
